@relation dwt_64_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
7,238.9895,288.184,273.645313,-302.3925,-253.90625,-287.89075,-469.0955,-397.657,-425.36075,69.052866,27.570486,11.647926,212.134,287.23075,254.357438,229.6885,287.0115,259.569813,37.753171,1
8,239.209,288.745,259.130813,-303.6375,-256.00575,-274.804688,-421.48125,-386.35225,-405.420438,72.642847,28.01172,11.57522,158.05625,236.35175,200.890875,220.3375,288.037,252.887438,40.936966,1
9,247.46075,281.39675,266.265875,-297.2415,-263.96475,-282.23275,-401.73775,-335.20325,-372.608875,68.12196,26.304478,11.768608,138.013,210.5705,176.006938,242.87175,306.88625,267.664313,37.665242,1
10,240.1615,271.33775,255.224625,-287.86625,-255.2,-270.86175,-398.80025,-356.56675,-369.84225,67.121051,26.491473,12.002596,122.1435,142.48025,132.89175,232.764,260.25375,250.427625,33.825509,1
11,248.9015,293.4575,267.92,-308.9115,-263.33025,-283.43525,-377.6585,-330.10375,-354.834438,68.017662,28.405711,12.451957,40.7225,123.24225,82.9345,184.9845,269.02075,219.354625,37.885394,1
12,247.266,292.6755,270.062375,-309.1305,-264.624,-286.425625,-361.0805,-296.99675,-332.73875,58.1065,27.742352,11.283065,1.90375,76.465,48.144438,220.603,292.331,256.711875,39.218397,1
13,239.3065,273.55975,259.948625,-288.672,-255.71275,-276.300125,-347.28775,-303.46575,-329.832875,66.324848,26.360201,11.082402,-54.02825,2.27075,-17.217875,241.9425,276.61,258.415438,33.717848,1
14,237.5735,277.7345,257.617188,-295.38575,-254.46775,-273.57775,-333.0555,-294.16325,-308.208625,66.358789,27.031231,11.221478,-78.02725,-26.538,-52.85625,251.88025,322.06875,292.492875,37.48379,1
15,231.1525,274.29225,249.664375,-289.89275,-248.75475,-265.46025,-324.95025,-274.242,-298.003375,69.329345,28.016595,11.564345,-148.77925,-79.49225,-122.95525,247.90125,313.45,269.042188,36.428003,1
16,246.38675,264.6245,252.526938,-281.54275,-261.54775,-268.511875,-320.04325,-264.89225,-300.995,66.879574,27.628503,12.134346,-199.60925,-135.571,-159.826688,216.67475,300.8805,257.354688,37.831758,1
17,248.68175,285.8155,262.98825,-301.9525,-263.4525,-278.692625,-286.135,-245.727,-270.123938,69.465817,26.334714,12.202369,-226.123,-156.73825,-187.74425,204.32075,281.3955,241.045688,36.627447,1
18,240.088,271.069,254.98675,-287.5485,-256.68925,-271.472063,-289.74625,-255.95625,-270.935,66.808156,27.054968,11.747829,-245.06775,-199.68275,-224.340625,189.35525,252.3185,207.525375,33.817476,1
19,229.44375,266.84575,247.833438,-284.35025,-246.997,-264.636,-257.6175,-206.03,-237.854,59.386009,28.764858,11.830937,-249.51125,-199.438,-223.6265,161.743,242.70125,197.595813,34.170225,1
20,227.44125,270.09225,252.685313,-283.03275,-242.0405,-266.754,-283.1535,-219.89725,-241.77225,61.697895,27.804363,11.452391,-283.84,-231.1765,-254.688188,126.53775,206.86025,161.151063,37.465491,1
21,250.122,279.4435,265.161125,-293.97,-265.674,-279.931688,-272.33925,-227.12425,-245.526375,64.358384,26.174851,10.393558,-274.29325,-230.37025,-251.563125,132.56825,176.295,153.7965,35.930584,1
22,248.92575,286.4505,259.491063,-300.781,-262.036,-272.668438,-286.9365,-232.71375,-251.916,69.986247,27.014866,11.104991,-259.9365,-212.1585,-241.60175,126.04975,205.20025,164.764438,31.409417,1
23,223.6815,261.548,240.4055,-275.269,-237.30525,-253.83325,-278.2225,-229.8825,-255.401563,71.159691,27.347401,11.963794,-255.93225,-205.42025,-229.101625,165.5755,217.94425,190.417188,35.179407,1
24,219.38475,238.86725,226.885938,-251.07375,-233.0325,-240.61275,-258.2765,-206.07925,-239.325,67.845481,27.258838,11.940332,-210.25375,-168.84775,-198.754875,162.817,222.07,184.655875,33.647409,1
25,211.8655,249.7805,230.908313,-262.671,-226.24525,-244.00025,-244.04375,-186.1085,-220.9475,64.012256,25.354735,12.008154,-174.682,-120.45875,-151.714875,201.85625,237.2795,220.104688,37.774705,1
26,217.55325,247.876,234.948688,-263.11025,-231.98225,-249.176125,-220.2395,-185.86425,-204.3885,63.287471,26.742692,11.26875,-142.67575,-77.0755,-107.843188,201,264.45275,233.330438,33.929307,1
27,180.39525,250.02425,220.24525,-264.28275,-196.606,-234.619125,-232.17775,-192.33375,-211.621125,63.805427,28.056384,11.171299,-161.81675,-78.71075,-117.79175,173.14475,242.16325,214.575188,37.518963,1
28,212.91475,244.555,227.496063,-257.56875,-224.9755,-240.680063,-188.8425,-130.17575,-158.801313,62.493037,26.514966,10.803839,-102.0025,-45.4105,-76.184313,217.65025,251.41625,240.685563,35.785047,1
