@relation Sub1_A_32_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class {0,1}

@data
3.251948000000000061e+00,5.674151000000000167e+00,1.054107560000000063e+02,7.171745600000000422e+02,2.183315709999999967e+02,7.707620400000000416e+01,6.346071400000000295e+01,-8.470981399999999439e+01,3.838965600000000222e+01,-6.118435000000000201e+01,3.367581500000000005e+01,2.316279700000000119e+01,1
2.843269999999999964e+00,4.500957999999999792e+00,8.118434000000000594e+01,6.343331809999999678e+02,2.062776090000000124e+02,1.620415610000000015e+02,5.712907200000000074e+01,-3.684810999999999837e+01,2.826392699999999891e+01,-2.094610499999999931e+01,2.859068999999999861e+01,1.492215900000000062e+01,1
4.371013999999999733e+00,1.957875000000000032e+00,-2.465603839999999991e+02,6.290213929999999891e+02,3.189064960000000042e+02,2.417705550000000017e+02,1.439570960000000071e+02,-3.222622700000000151e+01,3.344600200000000001e+01,-4.173895499999999714e+01,4.508333499999999816e+01,2.253106000000000009e+01,1
2.368968999999999880e+00,5.837362999999999857e+00,-6.637306559999999536e+02,-2.899882150000000252e+02,1.365582789999999989e+02,8.727551400000000115e+01,9.569598399999999572e+01,-6.177899200000000235e+01,3.438566900000000004e+01,-3.048117900000000091e+01,2.308174599999999899e+01,1.562619800000000048e+01,1
3.438346000000000124e+00,3.676128999999999980e+00,-4.740390170000000012e+02,-2.883630959999999845e+02,6.851609899999999698e+01,8.179611199999999371e+01,4.717171499999999895e+01,-5.255755500000000069e+01,4.519200899999999876e+01,-3.323301800000000128e+01,2.081293600000000055e+01,1.477638199999999991e+01,1
3.303180999999999923e+00,4.954849000000000281e+00,-6.673795079999999871e+02,-7.324928500000000042e+01,2.355601959999999906e+02,2.754953499999999877e+01,4.228146199999999766e+01,-6.646744200000000546e+01,2.578320400000000134e+01,-4.152802899999999653e+01,2.760411799999999971e+01,1.505510300000000079e+01,1
2.997332999999999803e+00,4.441275000000000084e+00,-1.049621510000000058e+02,-1.887367199999999912e+01,3.521496100000000240e+01,4.813137400000000099e+01,7.740217400000000225e+01,-7.013957299999999861e+01,2.904420599999999908e+01,-2.463045299999999926e+01,1.805884899999999860e+01,1.195396500000000017e+01,1
4.140890999999999877e+00,4.701438999999999702e+00,1.316947380000000010e+02,4.433532660000000192e+02,1.152673450000000059e+02,2.954216699999999918e+01,4.484040399999999948e+01,-4.112768599999999708e+01,2.082376000000000005e+01,-1.820937299999999937e+01,9.273889999999999745e+00,7.833594999999999864e+00,1
2.832462000000000035e+00,5.269712000000000174e+00,-7.853197299999999359e+01,2.998361699999999814e+02,1.466773890000000051e+02,7.893456100000000220e+01,4.093239899999999665e+01,-4.239794499999999999e+01,2.473453500000000105e+01,-1.328385100000000030e+01,2.192605700000000013e+01,1.051772399999999941e+01,1
3.256758000000000042e+00,3.978533999999999793e+00,-2.841699399999999969e+02,-1.037304939999999931e+02,6.844001699999999744e+01,5.285033299999999912e+01,6.741668400000000361e+01,-4.879224099999999709e+01,4.255622699999999980e+01,-4.022064699999999959e+01,2.902153500000000008e+01,1.818193399999999826e+01,1
2.537209999999999965e+00,6.057783999999999835e+00,-2.966604310000000169e+02,-1.669368949999999927e+02,4.612826799999999849e+01,2.025462800000000030e+01,2.540201899999999924e+01,-4.766061599999999743e+01,2.635495099999999979e+01,-1.926064900000000080e+01,1.768206500000000148e+01,1.128689600000000048e+01,1
